"AGE","GEO","TIME","SEX","UNIT","Value"
"Total","European Union - 27 countries (2007-2013)","2000","Males","Number","234.999.843"
"Total","European Union - 27 countries (2007-2013)","2000","Females","Number","247.761.502"
"Total","European Union - 27 countries (2007-2013)","2001","Total","Number","483.945.121"
"Total","European Union - 27 countries (2007-2013)","2001","Males","Number","235.596.451"
"Total","European Union - 27 countries (2007-2013)","2001","Females","Number","248.348.670"
"Total","European Union - 27 countries (2007-2013)","2002","Total","Number","484.657.212"
"Total","European Union - 27 countries (2007-2013)","2002","Males","Number","236.011.847"
"Total","European Union - 27 countries (2007-2013)","2002","Females","Number","248.645.365"
"Total","European Union - 27 countries (2007-2013)","2003","Total","Number","486.386.194"
"Total","European Union - 27 countries (2007-2013)","2003","Males","Number","236.896.760"
"Total","European Union - 27 countries (2007-2013)","2003","Females","Number","249.489.434"
"Total","European Union - 27 countries (2007-2013)","2004","Total","Number","488.250.073"
"Total","European Union - 27 countries (2007-2013)","2004","Males","Number","237.861.984"
"Total","European Union - 27 countries (2007-2013)","2004","Females","Number","250.388.089"
"Total","European Union - 27 countries (2007-2013)","2005","Total","Number","490.287.461"
"Total","European Union - 27 countries (2007-2013)","2005","Males","Number","238.921.965"
"Total","European Union - 27 countries (2007-2013)","2005","Females","Number","251.365.496"
"Total","European Union - 27 countries (2007-2013)","2006","Total","Number","492.124.110"
"Total","European Union - 27 countries (2007-2013)","2006","Males","Number","239.878.129"
"Total","European Union - 27 countries (2007-2013)","2006","Females","Number","252.245.981"
"Total","European Union - 27 countries (2007-2013)","2007","Total","Number","493.987.245"
"Total","European Union - 27 countries (2007-2013)","2007","Males","Number","240.858.114"
"Total","European Union - 27 countries (2007-2013)","2007","Females","Number","253.129.131"
"Total","European Union - 27 countries (2007-2013)","2008","Total","Number","495.985.066"
"Total","European Union - 27 countries (2007-2013)","2008","Males","Number","241.913.560"
"Total","European Union - 27 countries (2007-2013)","2008","Females","Number","254.071.506"
"Total","European Union - 27 countries (2007-2013)","2009","Total","Number","497.780.439"
"Total","European Union - 27 countries (2007-2013)","2009","Males","Number","242.835.035"
"Total","European Union - 27 countries (2007-2013)","2009","Females","Number","254.945.404"
"Total","European Union - 27 countries (2007-2013)","2010","Total","Number","498.867.771"
"Total","European Union - 27 countries (2007-2013)","2010","Males","Number","243.425.312"
